Locus,chr,AGPv2_start,AGPv2_end,cM,predict_start,predict_end,Difference
TIDP6442,1,"128,860","131,229",0,1,"3,312,284",-----
IDP762,1,"143,281","144,310",0,1,"3,312,284",-----
TIDP5829,1,"1,747,418","1,748,809",0,1,"3,312,284",-----
umc1354,1,"1,877,438","1,878,237",0,1,"3,312,284",-----
bnlg1124,1,"2,033,660","2,034,092",0,1,"3,312,284",-----
TIDP3166,1,"2,038,476","2,040,233",0,1,"3,312,284",-----
tub1,1,"2,194,597","2,195,301",0,1,"3,312,284",-----
TIDP5514,1,"2,434,786","2,435,926",0,1,"3,312,284",-----
IDP4008,1,"2,956,740","2,958,142",0,1,"3,312,284",-----
IDP8701,1,"3,039,091","3,042,168",0,1,"3,312,284",-----
umc1177,1,"3,110,437","3,111,138",0,1,"3,312,284",-----
TIDP5605,1,"3,129,621","3,131,599",0,1,"3,312,284",-----
TIDP3021,1,"3,272,187","3,277,194",2.6,"3,312,285","3,575,252","35,091"
TIDP5690,1,"3,404,919","3,407,631",2.6,"3,312,285","3,575,252",-----
IDP6908,1,"3,469,288","3,470,443",4.7,"3,312,285","3,792,043",-----
IDP1447,1,"3,647,980","3,649,368",4.7,"3,312,285","3,792,043",-----
TIDP3590,1,"3,707,706","3,711,351",6.5,"3,575,253","4,801,014",-----
TIDP3309,1,"3,732,780","3,734,753",6.5,"3,575,253","4,801,014",-----
AY110314,1,"3,732,917","3,733,311",4.7,"3,312,285","3,792,043",-----
IDP1464,1,"3,894,254","3,894,965",6.5,"3,575,253","4,801,014",-----
IDP4094,1,"4,751,367","4,754,930",8.3,"3,795,114","4,801,014",-----
IDP2420,1,"4,758,454","4,760,815",8.3,"3,795,114","4,801,014",-----
TIDP4556,1,"4,765,595","4,767,124",11.6,"4,614,752","5,124,472",-----
TIDP2922,1,"4,991,986","4,997,753",11.6,"4,614,752","5,124,472",-----
IDP658,1,"4,994,337","4,994,800",11.6,"4,614,752","5,124,472",-----
IDP7620,1,"5,006,435","5,014,776",15.3,"4,995,030","5,813,269",-----
IMR8,1,"5,087,611","5,090,318",11.6,"4,614,752","5,124,472",-----
mmp49,1,"5,088,991","5,089,734",15.3,"4,995,030","5,813,269",-----
TIDP3219,1,"5,327,064","5,330,943",15.3,"4,995,030","5,813,269",-----
TIDP3060,1,"5,344,928","5,349,938",15.3,"4,995,030","5,813,269",-----
IDP755,1,"5,386,833","5,394,007",15.3,"4,995,030","5,813,269",-----
IDP5027,1,"5,654,783","5,656,176",22,"6,182,709","6,940,075","526,533"
IDP3852,1,"5,748,644","5,749,267",20.6,"5,374,164","5,813,269",-----
TIDP3140,1,"6,198,148","6,201,154",20.6,"5,374,164","5,813,269","384,879"
umc1041,1,"6,228,327","6,228,883",20.6,"5,374,164","5,813,269","415,058"
TIDP3058,1,"6,830,654","6,842,160",23.3,"5,642,646","7,026,403",-----
bnlg1014,1,"6,954,139","6,954,672",26.3,"6,766,152","8,639,186",-----
IDP8147,1,"7,242,431","7,245,336",26.3,"6,766,152","8,639,186",-----
IDP6813,1,"7,313,117","7,314,754",26.3,"6,766,152","8,639,186",-----
TIDP3374,1,"7,342,424","7,349,287",26.3,"6,766,152","8,639,186",-----
IDP4725,1,"7,388,313","7,389,567",26.3,"6,766,152","8,639,186",-----
IDP4043,1,"7,457,885","7,459,095",26.3,"6,766,152","8,639,186",-----
IDP6083,1,"7,858,683","7,862,590",26.3,"6,766,152","8,639,186",-----
umc1269,1,"7,996,167","7,996,356",26.3,"6,766,152","8,639,186",-----
TIDP4604,1,"8,023,760","8,024,955",26.3,"6,766,152","8,639,186",-----
IDP553,1,"8,134,563","8,147,499",26.3,"6,766,152","8,639,186",-----
TIDP2778,1,"8,350,530","8,354,916",26.3,"6,766,152","8,639,186",-----
umc1977,1,"8,351,358","8,351,627",26.3,"6,766,152","8,639,186",-----
TIDP3353,1,"8,518,940","8,519,562",26.3,"6,766,152","8,639,186",-----
umc1948,1,"8,537,358","8,537,741",28.3,"8,439,554","8,930,454",-----
TIDP5541,1,"8,633,277","8,634,982",28.3,"8,439,554","8,930,454",-----
TIDP3460,1,"8,740,542","8,743,333",28.3,"8,439,554","8,930,454",-----
IDP7821,1,"8,820,316","8,822,533",32.6,"8,639,187","9,510,367",-----
IDP7711,1,"9,378,068","9,379,775",32.6,"8,639,187","9,510,367",-----
IDP8218,1,"9,421,454","9,427,244",34.2,"9,387,265","9,810,275",-----
IDP8588,1,"9,430,817","9,434,812",32.6,"8,639,187","9,510,367",-----
TIDP3216,1,"9,435,113","9,438,666",34.2,"9,387,265","9,810,275",-----
IDP5930,1,"9,490,905","9,492,179",34.2,"9,387,265","9,810,275",-----
IDP1437,1,"9,559,443","9,570,070",34.2,"9,387,265","9,810,275",-----
IDP8174,1,"9,803,505","9,805,367",35,"9,510,368","10,245,399",-----
IDP847,1,"10,088,697","10,089,625",35,"9,510,368","10,245,399",-----
